image_path centroid_x centroid_y angle
MIA_L0001/frame00148.bmp 60.7651 66.2731 -24.0404
MIA_L0001/frame00149.bmp 60.4360 66.6901 -20.8400
MIA_L0001/frame00150.bmp 60.6221 66.8351 -15.8468
MIA_L0001/frame00151.bmp 60.6440 66.2099 -15.5336
MIA_L0001/frame00152.bmp 59.6776 66.4595 -19.0525
MIA_L0001/frame00153.bmp 59.2973 65.9626 -30.4943
MIA_L0001/frame00156.bmp 50.3905 70.3968 82.2865
MIA_L0001/frame00157.bmp 42.2357 70.5621 -3.4278
MIA_L0001/frame00158.bmp 43.2734 70.4355 -4.3094
MIA_L0001/frame00159.bmp 44.9147 69.9278 -8.5531
MIA_L0001/frame00160.bmp 46.1213 70.2763 -5.8060
MIA_L0001/frame00161.bmp 44.7971 70.2766 -5.5484
MIA_L0001/frame00162.bmp 43.4751 70.9085 -5.6201
MIA_L0001/frame00163.bmp 44.2355 70.8822 -8.8939
MIA_L0001/frame00164.bmp 43.9237 71.0080 -7.8526
MIA_L0001/frame00167.bmp 60.1792 68.4801 -1.5596
MIA_L0001/frame00168.bmp 60.2115 66.1603 -23.4911
MIA_L0001/frame00169.bmp 60.9118 66.0706 -23.3508
MIA_L0001/frame00170.bmp 61.3307 66.5110 -19.3594
MIA_L0001/frame00171.bmp 62.1491 65.8698 -17.2878
MIA_L0001/frame00172.bmp 61.5402 66.2433 -19.3268
MIA_L0001/frame00173.bmp 61.5311 66.3521 -16.9702
MIA_L0001/frame00174.bmp 63.0256 65.4915 -18.7186
MIA_L0001/frame00175.bmp 59.7169 66.0487 -24.3426
MIA_L0001/frame00176.bmp 60.8173 66.1466 -17.8827
MIA_L0001/frame00179.bmp 47.7529 70.1322 5.0541
MIA_L0001/frame00180.bmp 44.6013 70.2263 -3.4639
MIA_L0001/frame00181.bmp 45.2940 70.0258 -4.3611
MIA_L0001/frame00182.bmp 44.4393 71.0105 -9.2469
MIA_L0001/frame00183.bmp 43.8718 70.7353 -9.3160
MIA_L0001/frame00184.bmp 45.4259 70.0605 -3.0225
MIA_L0001/frame00185.bmp 43.9322 70.8439 -8.7689
MIA_L0001/frame00186.bmp 44.4095 70.9095 -6.8763
MIA_L0001/frame00187.bmp 43.5972 70.8090 -5.5845
MIA_L0001/frame00188.bmp 44.5546 70.9034 -10.6881
MIA_L0001/frame00191.bmp 55.7695 69.9760 13.1657
MIA_L0001/frame00192.bmp 61.3690 66.0161 -24.2958
MIA_L0001/frame00193.bmp 61.0588 66.2130 -24.3204
MIA_L0001/frame00194.bmp 60.0933 66.7933 -17.8185
MIA_L0001/frame00195.bmp 60.4109 66.5409 -18.1545
MIA_L0001/frame00196.bmp 61.0949 66.1224 -20.4186
MIA_L0001/frame00197.bmp 60.8030 66.3615 -17.7415
MIA_L0001/frame00198.bmp 61.4903 66.0136 -16.3239
MIA_L0001/frame00199.bmp 60.8787 66.5944 -15.4773
MIA_L0001/frame00200.bmp 59.8013 66.6026 -17.4613
MIA_L0001/frame00201.bmp 58.1570 66.7548 -18.7651
MIA_L0001/frame00204.bmp 52.2597 68.1558 63.9724
MIA_L0001/frame00205.bmp 45.6966 70.9333 -8.0540
MIA_L0001/frame00206.bmp 43.6579 70.3869 -3.8885
MIA_L0001/frame00207.bmp 43.9069 70.7109 -5.7562
MIA_L0001/frame00208.bmp 43.8382 70.3969 -5.8428
MIA_L0001/frame00209.bmp 45.1688 70.5338 -9.4636
MIA_L0001/frame00210.bmp 45.1488 70.6352 -7.4007
MIA_L0001/frame00211.bmp 43.9842 71.1028 -9.0287
MIA_L0001/frame00212.bmp 44.4206 70.5615 -6.2835
MIA_L0001/frame00213.bmp 45.2360 70.2173 -3.7650
MIA_L0001/frame00214.bmp 43.7181 70.7282 -7.0019
MIA_L0001/frame00215.bmp 44.4769 70.9748 -8.2882
MIA_L0001/frame00218.bmp 57.8169 67.7350 -27.3689
MIA_L0001/frame00219.bmp 60.7544 66.0487 -23.4235
MIA_L0001/frame00220.bmp 62.4095 65.7410 -21.9689
MIA_L0001/frame00221.bmp 59.7887 66.5229 -26.9997
MIA_L0001/frame00222.bmp 60.9190 66.5075 -21.3389
MIA_L0001/frame00223.bmp 61.2271 66.5657 -16.3177
MIA_L0001/frame00224.bmp 60.9426 66.4234 -16.3124
MIA_L0001/frame00225.bmp 60.3601 66.4837 -22.9259
MIA_L0001/frame00226.bmp 60.4440 66.4725 -20.8287
MIA_L0001/frame00227.bmp 58.2203 67.3453 -11.3930
MIA_L0001/frame00228.bmp 59.3935 66.7601 -19.5867
MIA_L0001/frame00229.bmp 59.0186 66.5569 -14.0203
MIA_L0001/frame00233.bmp 44.9870 70.1540 -8.0563
MIA_L0001/frame00234.bmp 44.1166 69.8604 -6.1288
MIA_L0001/frame00235.bmp 44.6128 70.2660 -8.2013
MIA_L0001/frame00236.bmp 44.9701 70.0598 -10.0551
MIA_L0001/frame00237.bmp 45.9372 69.8290 2.8492
MIA_L0001/frame00238.bmp 42.7383 70.8624 -7.2095
MIA_L0001/frame00239.bmp 43.4324 70.9189 -8.5536
MIA_L0001/frame00240.bmp 44.3621 70.6853 -5.8388
MIA_L0001/frame00241.bmp 44.2384 70.9979 -8.7385
MIA_L0001/frame00242.bmp 45.5053 70.4371 -8.6095
MIA_L0001/frame00243.bmp 44.0530 70.8114 -7.9279
MIA_L0001/frame00244.bmp 45.3206 70.5090 -7.5015
MIA_L0001/frame00246.bmp 63.5000 123.0000 -0.0000
MIA_L0001/frame00247.bmp 63.5000 123.0000 -0.0000
MIA_L0001/frame00248.bmp 58.6929 66.7838 -16.8871
MIA_L0001/frame00249.bmp 61.0539 66.2475 -23.1252
MIA_L0001/frame00250.bmp 61.0146 66.4092 -16.8193
MIA_L0001/frame00251.bmp 59.8208 66.7633 -18.4338
MIA_L0001/frame00252.bmp 60.4209 66.7372 -18.7636
MIA_L0001/frame00253.bmp 59.9630 66.8591 -17.3820
MIA_L0001/frame00254.bmp 60.7004 66.6789 -19.4640
MIA_L0001/frame00255.bmp 60.4619 66.3812 -20.3557
MIA_L0001/frame00256.bmp 62.0573 66.3418 -17.2946
MIA_L0001/frame00257.bmp 61.5884 66.2845 -19.2585
MIA_L0001/frame00258.bmp 59.4292 66.7011 -17.4370
MIA_L0001/frame00259.bmp 60.1220 66.4135 -14.4630
MIA_L0001/frame00260.bmp 60.5270 66.7754 -14.8749
MIA_L0001/frame00262.bmp 63.5000 123.0000 -0.0000
MIA_L0001/frame00263.bmp 63.5000 123.0000 -0.0000
MIA_L0001/frame00264.bmp 44.7684 70.4529 -2.5879
MIA_L0001/frame00265.bmp 45.8580 70.1461 -7.8819
MIA_L0001/frame00266.bmp 46.4205 69.9902 -1.0377
MIA_L0001/frame00267.bmp 45.8051 70.1906 -2.5422
MIA_L0001/frame00268.bmp 46.0948 70.1016 -2.5986
MIA_L0001/frame00269.bmp 44.4277 70.3753 -6.4730
MIA_L0001/frame00270.bmp 25.0000 75.0000 -0.0000
MIA_L0001/frame00271.bmp 43.5968 70.9601 -9.8858
MIA_L0001/frame00272.bmp 44.8495 70.6277 -7.5496
MIA_L0001/frame00273.bmp 45.4116 70.7193 -7.8815
MIA_L0001/frame00274.bmp 44.8814 70.1454 -2.6989
MIA_L0001/frame00275.bmp 42.7720 71.0215 -8.0971
MIA_L0001/frame00276.bmp 44.2708 71.0792 -8.4633
MIA_L0001/frame00277.bmp 45.6035 70.4361 -5.3396
MIA_L0001/frame00280.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00281.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00282.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00283.bmp 60.6854 67.0341 -16.6544
MIA_L0001/frame00284.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00285.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00286.bmp 60.9078 66.4950 -16.4649
MIA_L0001/frame00287.bmp 59.0068 66.9932 -13.8626
MIA_L0001/frame00288.bmp 59.9805 66.8377 -18.1354
MIA_L0001/frame00289.bmp 58.7854 66.5687 -11.4003
MIA_L0001/frame00290.bmp 63.0250 65.9501 -18.5572
MIA_L0001/frame00291.bmp 61.4037 66.4787 -17.1179
MIA_L0001/frame00292.bmp 60.5963 66.6065 -19.1201
MIA_L0001/frame00293.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00294.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00296.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00297.bmp 21.0000 74.0000 -0.0000
MIA_L0001/frame00298.bmp 42.3305 70.8881 -8.3091
MIA_L0001/frame00299.bmp 43.6486 69.9961 -2.6271
MIA_L0001/frame00300.bmp 45.5023 70.3386 -5.8686
MIA_L0001/frame00301.bmp 43.6078 70.0000 -4.0973
MIA_L0001/frame00302.bmp 42.9150 70.8726 -5.5766
MIA_L0001/frame00303.bmp 45.6421 69.2247 -13.5189
MIA_L0001/frame00304.bmp 20.2857 48.5000 -90.0000
MIA_L0001/frame00305.bmp 43.6673 70.5783 -8.1446
MIA_L0001/frame00306.bmp 43.7172 70.5943 -6.9065
MIA_L0001/frame00307.bmp 45.4754 69.9422 -0.7816
MIA_L0001/frame00308.bmp 44.0830 71.0954 -7.8346
MIA_L0001/frame00309.bmp 45.0795 70.3205 -5.1758
MIA_L0001/frame00310.bmp 46.8880 70.2265 -5.3621
MIA_L0001/frame00311.bmp 43.8042 70.8271 -5.2874
MIA_L0001/frame00312.bmp 45.4800 70.2489 -6.0617
MIA_L0001/frame00314.bmp 95.5000 123.0000 -0.0000
MIA_L0001/frame00315.bmp 57.9402 68.0370 -6.7609
MIA_L0001/frame00316.bmp 60.1735 66.1939 -23.1497
MIA_L0001/frame00317.bmp 59.5677 66.2118 -22.3607
MIA_L0001/frame00318.bmp 60.6632 66.6322 -18.3453
MIA_L0001/frame00319.bmp 61.5865 66.1385 -18.0280
MIA_L0001/frame00320.bmp 61.4940 66.5302 -16.7980
MIA_L0001/frame00321.bmp 61.5242 66.1644 -15.1741
MIA_L0001/frame00322.bmp 60.4120 66.8219 -16.8647
MIA_L0001/frame00323.bmp 61.6876 66.1885 -22.9806
MIA_L0001/frame00324.bmp 61.0173 66.6084 -20.8491
MIA_L0001/frame00325.bmp 60.7112 66.5799 -17.9666
MIA_L0001/frame00326.bmp 62.0519 66.0918 -16.5968
MIA_L0001/frame00327.bmp 59.6136 66.3432 -15.5286
MIA_L0001/frame00328.bmp 61.4495 65.8099 -19.2667
MIA_L0001/frame00329.bmp 60.0450 66.4867 -20.6795
MIA_L0001/frame00330.bmp 31.5000 123.0000 -0.0000
MIA_L0001/frame00331.bmp 63.5000 123.0000 -0.0000
MIA_L0001/frame00333.bmp 63.5000 123.0000 -0.0000
MIA_L0001/frame00334.bmp 47.1451 69.5374 1.7905
MIA_L0001/frame00335.bmp 24.5000 74.5000 -0.0000
MIA_L0001/frame00336.bmp 46.5777 69.8350 0.7775
MIA_L0001/frame00337.bmp 45.7660 70.2406 -3.6362
MIA_L0001/frame00338.bmp 44.7159 70.3701 -6.7812
MIA_L0001/frame00339.bmp 43.8016 70.3206 -7.7388
MIA_L0001/frame00340.bmp 44.7623 70.4176 -4.1212
MIA_L0001/frame00341.bmp 42.0899 71.4340 -7.8804
MIA_L0001/frame00342.bmp 45.1883 70.5583 -6.7616
MIA_L0001/frame00343.bmp 45.2995 70.1959 -4.8045
MIA_L0001/frame00344.bmp 45.3705 70.8817 -5.5682
MIA_L0001/frame00345.bmp 44.1149 70.2560 -1.8420
MIA_L0001/frame00346.bmp 45.7294 70.3294 -10.1991
MIA_L0001/frame00347.bmp 42.5275 71.1048 -7.2419
MIA_L0001/frame00348.bmp 44.9337 70.4357 -8.0284
MIA_L0001/frame00349.bmp 46.1096 70.5728 -2.3765
MIA_L0001/frame00353.bmp 58.4975 67.4500 -19.8398
MIA_L0001/frame00354.bmp 61.2197 65.8825 -24.7862
MIA_L0001/frame00355.bmp 60.0701 66.9389 -20.7566
MIA_L0001/frame00356.bmp 61.6536 65.7237 -20.3977
MIA_L0001/frame00357.bmp 60.8176 66.4970 -16.3965
MIA_L0001/frame00358.bmp 60.6435 66.0654 -22.9906
MIA_L0001/frame00359.bmp 60.9816 65.9469 -15.1648
MIA_L0001/frame00360.bmp 61.6037 66.0285 -18.2696
MIA_L0001/frame00361.bmp 60.5084 66.5251 -16.0732
MIA_L0001/frame00362.bmp 60.3976 66.3757 -21.4171
MIA_L0001/frame00363.bmp 60.6265 66.2082 -21.6158
MIA_L0001/frame00364.bmp 60.7561 66.5183 -15.9958
MIA_L0001/frame00365.bmp 60.2878 66.7719 -19.1358
MIA_L0001/frame00366.bmp 60.3462 66.5978 -17.4308
MIA_L0001/frame00367.bmp 60.6127 66.6105 -15.4842
MIA_L0001/frame00368.bmp 59.6673 66.1583 -18.6454
MIA_L0001/frame00369.bmp 59.6929 66.5758 -19.2027
MIA_L0001/frame00373.bmp 46.6479 69.8142 -0.6390
MIA_L0001/frame00374.bmp 43.5778 70.8249 -6.1732
MIA_L0001/frame00375.bmp 46.8663 69.4876 6.1184
MIA_L0001/frame00376.bmp 17.0000 74.0000 -0.0000
MIA_L0001/frame00377.bmp 44.1733 70.2419 -4.1644
MIA_L0001/frame00378.bmp 45.4209 70.5832 -9.6314
MIA_L0001/frame00379.bmp 44.0338 70.6561 -5.8123
MIA_L0001/frame00380.bmp 45.0301 70.5742 -7.0878
MIA_L0001/frame00381.bmp 44.7787 70.4201 -8.5336
MIA_L0001/frame00382.bmp 44.5984 70.4783 -5.5544
MIA_L0001/frame00383.bmp 46.3311 69.9189 -4.7430
MIA_L0001/frame00384.bmp 44.1969 70.6608 -7.3291
MIA_L0001/frame00385.bmp 44.0436 70.5415 -6.3231
MIA_L0001/frame00386.bmp 44.2654 70.6794 -7.5224
MIA_L0001/frame00387.bmp 43.0206 70.8745 -5.6411
MIA_L0001/frame00388.bmp 44.7478 70.3838 -9.5871
MIA_L0001/frame00389.bmp 45.0784 70.2082 -1.7294
MIA_L0001/frame00390.bmp 46.3475 70.3333 1.1085
MIA_L0001/frame00394.bmp 61.9357 65.7022 -20.3275
MIA_L0001/frame00395.bmp 61.1623 66.1698 -19.4472
MIA_L0001/frame00396.bmp 59.3275 66.7495 -19.8785
MIA_L0001/frame00397.bmp 60.0680 66.6272 -19.6432
MIA_L0001/frame00398.bmp 60.1603 66.6902 -19.7236
MIA_L0001/frame00399.bmp 61.6813 66.4243 -18.1968
MIA_L0001/frame00400.bmp 60.5992 66.5950 -17.4806
MIA_L0001/frame00401.bmp 60.0958 66.6659 -16.4233
MIA_L0001/frame00402.bmp 61.0167 66.3619 -17.3450
MIA_L0001/frame00403.bmp 59.4336 66.8296 -17.8787
MIA_L0001/frame00404.bmp 59.9598 66.7991 -20.5935
MIA_L0001/frame00405.bmp 60.9081 66.4760 -19.7569
MIA_L0001/frame00406.bmp 60.8347 66.5063 -19.9229
MIA_L0001/frame00407.bmp 60.7427 66.9665 -15.8734
MIA_L0001/frame00408.bmp 59.7102 66.7746 -14.8337
MIA_L0001/frame00409.bmp 59.3975 66.7294 -19.2788
MIA_L0001/frame00410.bmp 59.9279 66.0209 -16.3872
MIA_L0001/frame00411.bmp 59.2311 66.8186 -24.1553
MIA_L0001/frame00415.bmp 45.8044 69.5560 4.7523
MIA_L0001/frame00416.bmp 43.9556 70.5657 -6.6150
MIA_L0001/frame00417.bmp 44.2917 70.2991 -2.6836
MIA_L0001/frame00418.bmp 46.7355 69.6550 -7.1334
MIA_L0001/frame00419.bmp 45.7485 70.1588 -6.5489
MIA_L0001/frame00420.bmp 45.6795 69.9023 -4.5373
